street_name,year,month,legal_p_at_12,legal_p_at_17,legal_p_at_22,parked_cars_at_12,parked_cars_at_17,parked_cars_at_22,occupancy_at_12_pct,occupancy_at_17_pct,occupancy_at_22_pct,wkb_geometry
A.L. Drewsens Vej,2020,9,18,18,18,21,21,22,117.0,117.0,122.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2021,3,6,6,6,9,11,12,150.0,183.0,200.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2021,3,18,18,18,23,20,24,128.0,111.0,133.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2021,9,6,6,6,8,9,10,133.0,150.0,167.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2021,9,18,18,18,21,23,24,117.0,128.0,133.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2022,3,6,6,6,5,7,9,83.0,117.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2022,3,18,18,18,22,24,23,122.0,133.0,128.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2022,9,6,6,6,8,9,10,133.0,150.0,167.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2022,9,18,18,18,21,23,24,117.0,128.0,133.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2023,3,6,6,6,8,7,8,133.0,117.0,133.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2023,3,18,18,18,22,19,27,122.0,106.0,150.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2023,10,6,6,6,4,6,7,67.0,100.0,117.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2023,10,18,18,18,16,17,20,89.0,94.0,111.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2024,3,6,6,6,6,9,9,100.0,150.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2024,3,18,18,18,5,7,6,28.0,39.0,33.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2024,10,6,6,6,8,8,9,133.0,133.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2024,10,18,18,18,20,23,25,111.0,128.0,139.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
